ID,Term,Chinese,Language
1479,canto mozárabe {Sp.},莫薩拉貝聖歌,西
1480,canto mozarabico {It.},莫薩拉貝聖歌,義
1481,canto siriaco {It.},敘利亞聖歌,義
1482,canto {It.},歌；歌唱,義
1483,cantor,教堂領唱者；教會樂長,英
1484,cantoris {Lat.},歌手席,拉
1485,Cantus Ambrosianus {Lat.},安布羅斯聖歌,拉
1486,cantus firmus Mass,定旋律彌撒曲,英
1487,cantus firmus {Lat.},定旋律,拉
1488,cantus gallicanus {Lat.},高盧聖歌,拉
1489,cantus gregorianus {Lat.},葛雷果聖歌,拉
1490,cantus lateralis {Lat.},雙頁譜,拉
1491,cantus mensurabilis {Lat.},定量音樂,拉
1492,cantus planus {Lat.},素歌,拉
1493,cantus romana {Lat.},羅馬教堂聖歌,拉
1494,Cantus sacrus,聖歌,拉
1495,cantus {Lat.},歌；高聲部；歌唱；樂曲,拉
1496,canzo {Fr.},古情歌,法
1497,canzona alla francese {It.},法國風歌曲,義
1498,canzona da sonar {It.},器樂短歌,義
1499,canzona francese {It.},法國歌曲,義
1500,canzona {It.},短歌；器樂曲,義
1501,canzone populare {It.},民歌；民謠,義
1502,canzone senza parole {It.},無言歌,義
1503,canzone strofica {It.},反復歌（詩節式歌曲）,義
1504,canzone {It.},短歌；通俗歌,義
1505,canzonet,短歌；小曲,英
1506,canzonetta {It.},短歌；小曲,義
1507,caoine（keen）,愛爾蘭輓歌,英
1508,cāpi,查普伊琴,高棉
1509,capitolo {It.},卡比托羅,義
1510,capo tasto {It.},移調器｛吉他｝；弦枕,義
1511,capo {It.},首端,義
1512,capotaster {Ger.},移調器｛吉他｝；弦枕,德
1513,capotasto {Sp.},移調器｛吉他｝；弦枕,西
1514,Cappella Sistina {It.},西斯汀教堂；西斯汀教堂聖歌隊,義
1515,cappella {It.},小教堂；聖歌隊；宮廷音樂組合,義
1516,cappello cinese {It.},鈴杖 （土耳其）,義
1517,capriccio {It.},隨想曲,義
1518,Capriccioso {It.},奇想的；隨想的；頑皮的；搞怪的,義
1519,caprice {Fr.},隨想曲,法˙英
1520,caractéristique de tonalité {Fr.},調性特色,法
1521,caramba {Sp.},卡林巴樂弓,西
1522,caratteristica di chiave {It.},調性特色,義
1523,carcelera {Sp.},卡謝列拉歌,西
1524,carillon {Fr.},排鐘,法
1525,carimba {Sp.},卡林巴樂弓,西
1526,carmagnole {Fr.},卡馬紐爾歌曲 ｛法｝,法
1527,carmen {Lat.},歌；歌曲,拉
1528,Carmina burana {Lat.},布倫詩歌集,拉
1529,carnavalito {Sp.},卡納瓦利多舞曲｛西｝,西
1530,carol,耶誕頌歌；卡洛爾舞歌,英
1531,carola {It.},卡洛爾舞歌,義
1532,carole {Lat.},卡洛爾舞歌,拉
1533,carrée {Fr.},倍全音符,法
1534,cartonium,機械簧風琴,英
1535,cartridge,唱頭；唱機,英
1536,cascabeles {Sp.},串鈴（祕魯）,西
1537,cascarda {It.},卡斯卡爾達舞曲,義
1538,cassa dei bischeri {It.},弦軫斗（弦庫）,義
1539,cassa di legno {It.},木魚,義
1540,cassa rullante {It.},次中音鼓,義
1541,cassa {It.},鼓,義
1542,cassation {Fr.},輕組曲,英˙法
1543,cassazione {It.},輕組曲,義
1544,cassette {Fr.},卡式錄音帶,法
1545,castagnette {It.},響板,義
1546,castagnettes {Fr.},響板,法
1547,castañetas {Sp.},響板,西
1548,castanets,響板,英
1549,castrato {It.},閹歌手,義
1550,cat's Fugue,小貓復格,英
1551,catch,幽默輪唱曲,英
1552,catégorie des voix {Fr.},聲音類別,法
1553,catégories esthétiques {Fr.},美的範疇,法
1554,categories of voice,聲音類別,英
1555,catena {It.},低音樑,義
1556,cathedral music,天主教音樂,英
1557,cauda {Lat.},尾部；尾腔,拉
1558,cavalletta {It.},跑馬歌,義
1559,cavaquinho {Por.},四弦小型吉他,葡
1560,cavata {It.},小曲｛吟誦調結尾段｝,義
1561,cavatina {It.},抒情短歌；短曲,義
1562,cavatine {Fr.},抒情短歌；短曲,法
1563,cavité de résonance {Fr.},共鳴腔,法
1564,cebell,西貝爾曲式,英
1565,Cecilian movement,賽西莉亞運動,英
1566,cédez {Fr.},漸慢漸弱,法
1567,ceja {Sp.},複弦（絃）按法｛吉他｝,西
1568,celempung {Id.},賽隆潘琴（印尼）,印尼
1569,celere {It.},快速的；迅速的,義
1570,celesta,鋼片琴,英
1571,celestina stop,賽雷斯提那音栓,英
1572,cello,大提琴,英
1573,cellone {It.},切羅內提琴,義
1574,cembalo da arco {It.},有弓鍵盤樂器,義
1575,cembalo verticale {It.},直立式大鍵琴,義
1576,Cembalo {Ger.},大鍵琴,德
1577,cembalo {It.},大鍵琴,義
1578,cent,音分,英
1579,centitone,百分之一音(平均律),英
1580,cento {Lat.},選粹作品,拉
1581,centone {It.},選粹作品,義
1582,centonization,集句法,英
1583,cercar la nota {It.},搜索音,義
1584,cercle harmonique {Fr.},五度圈,法
1585,Ces {Ger.},降Ｃ,德
1586,Ceses {Ger.},重降Ｃ音,德
1587,cetera {It.},齊特拉琴（中世紀魯特琴）,義
1588,ceterone {It.},大魯特琴；大吉他,義
1589,cetra da tavola {It.},齊特拉琴,義
1590,cetula,古西特琴,英
1591,ch'in,琴；古琴,英
1592,cha cha chá {Spa.},恰恰舞曲,西
1593,chacarera {Sp.},恰卡雷拉舞曲,西
1594,chaconne {It.}{Fr.},夏康舞曲,義˙法
1595,chair organ,座位管風琴,英
1596,Chakhe,查克琴（泰國）,泰國
1597,chalemelle {Fr.},蕭姆管,法
1598,chalemie {Fr.},蕭姆管,法
1599,chaleureux {Fr.}{It.},熱切的；熱烈的；熱情的,法
1600,chalmeye,蕭姆管,英
1601,chalumeau {Fr.},古單簧管；單簧管低音區,法
1602,cham,假面劇（西藏）,西藏
1603,chamber cantata,室內康塔塔,英
1604,chamber concert,室內音樂會,英
1605,chamber concerto,室內協奏曲,英
1606,chamber music,室內樂,英
1607,chamber opera,室內歌劇,英
1608,chamber orchestra,室內管弦（絃）樂團；室內合奏團,英
1609,chamber pitch,室內音高,英
1610,chamber sonata,室內奏鳴曲,英
1611,chamber symphony,室內交響曲,英
1612,champ audible {Fr.},聽域,法
1613,champ sonore {Fr.},音場,法
1614,chan'go,杖鼓（韓）,韓
1615,chance chord,偶成和弦,英
1616,chance music,機遇音樂,英
1617,change ringing,鐘鳴變化,英
1618,change-ringing,鐘鳴變化,英
1619,changement enharmonique {Fr.},等音變換,法
1620,changing note,倚音,英
1621,changing tone,換音,英
1622,channel,頻道,英
1623,chanson à parties {Fr.},和聲歌曲,法
1624,chanson allemande {Fr.},德國歌曲,法
1625,chanson de geste {Fr.},英雄讚歌,法
1626,chanson de toile {Fr.},紡織歌,法
1627,chanson de troupier {Fr.},大兵歌曲,法
1628,chanson messe {Fr.},香頌彌撒,法
1629,chanson monologue {Fr.},獨白香頌,法
1630,Chanson populaire {Fr.},民歌；民謠,法
1631,chanson sans paroles {Fr.},無言歌,法
1632,chanson strophique {Fr.},反復歌；詩節式歌曲,法
1633,chanson {Fr.},歌曲；香頌,法
1634,chansonnier {Fr.},香頌歌集,法
1635,chant,聖歌｛素歌｝,英
1636,chant donnée {Fr.},指定旋律,法
1637,chant funèbre {Fr.},輓歌,法
1638,chant gallican {Fr.},高盧聖歌,法
1639,chant grégorien {Fr.},葛雷果聖歌,法
1640,chant mozarabe {Fr.},莫薩拉伯聖歌,法
1641,chant national {Fr.},民歌,法
1642,chant pastoral {Fr.},牧歌,法
1643,chant syrien {Fr.},敘利亞聖歌,法
1644,chant {Fr.},歌；歌唱；歌曲,法
1645,chanter,旋律管(風笛),英
1646,chanterelle {Fr.},最高音弦；旋律弦（班究琴）,法
1647,Chantilly codex,香替伊抄本,英
1648,chanty,水手歌；水手工作歌,英
1649,chāp,查普（泰國鈸）,英
1650,chapeau chinois {Fr.},塔架鈴；鈴仗｛土耳其｝,法
1651,chapel,小教堂；聖歌隊；宮廷音樂組合,英
1652,chapelle {Fr.},小教堂；聖歌隊；宮廷音樂組合,法
1653,character,音樂記號,英
1654,character piece,特性曲；特性作品,英
1655,characteristic piece,散曲,英
1656,Charakterstück {Ger.},特性曲；特性作品,德
1657,charamela {Por.},恰拉梅拉管,葡
1658,charango {Sp.},恰朗哥琴,西
1659,charivari {Fr.},玩笑音樂,法
1660,charleston,查斯頓舞,英
1661,charrd of the augmented fifth,增五和絃,英
1662,chartar,查塔琴,英
1663,chase,追奏｛爵士樂｝,英
1664,chasse {Fr.},獵歌,法
1665,chastushka {Rus.},查斯杜西卡,俄
1666,chef d'orchestre {Fr.},指揮,法
1667,chef de pupitre {Fr.},樂團首席,法
1668,chegança {Por.},戲劇舞蹈,葡
1669,cheironomie {Fr.},手勢音符,法
1670,Cheironomie {Ger.},手勢音符,德
1671,chekker,傑卡琴,英
1672,chest of viols,古提琴箱,英
1673,chest voice,胸聲,英
1674,chest-register,胸聲區,英
1675,chest-resonant,胸腔共鳴,英
1676,chest-tone,胸音,英
1677,cheute {Fr.},下行倚音,法
1678,chevalet {Fr.},琴橋；琴馬,法
1679,chevé system,舍威簡譜,英
1680,cheville {Fr.},弦軫,法
1681,chevillier {Fr.},弦軫斗（弦庫）,法
1682,chèvrotement {Fr.},羊颤音,法
1683,chianuri {Geo.},奇亞奴利琴,喬治亞
1684,chiarentana (chirinitana){It.},奇亞倫塔納舞曲,義
1685,chiarenzana (giaranzana) {It.},奇亞倫札納舞曲,義
1686,chiave di baritono {It.},上低音譜號,義
1687,chiave di basso profondo {It.},下低音譜號,義
1688,chiave di basso {It.},低音譜號,義
1689,chiave di do {It.},Ｃ譜號,義
1690,chiave di fa {It.},Ｆ譜號,義
1691,chiave di sol {Fr.},Ｇ譜號,義
1692,chiave di violino {It.},小提琴譜號,義
1693,chiave transportata {It.},移位譜號,義
1694,chiave {It.},譜號,義
1695,chiavette {It.},移位譜號,義
1696,chifonie {Fr.},搖弦琴,法
1697,chime,管鐘,英
1698,chime bells,小鐘,英
1699,chin rest,顎墊,英
1700,chinese crash cymbal,中國鈸,英
1701,chinese pavilion,鈴杖(土耳其),英
1702,chinese temple block,中國木魚,英
1703,Chinese wood block,盒梆,英
1704,chirimía {Sp.},蕭姆管,西
1705,chironomia {Lat.},手勢音符,拉
1706,chironomie {Fr.},手勢音符,法
1707,chironomy,手勢音符,英
1708,chiroplast,練琴輔具,英
1709,chitarra battente {It.},巴天特吉他,義
1710,chitarra {It.},吉他,義
1711,chitarrone {It.},大魯特琴；大吉他,義
1712,chiusa {It.},閉奏,義
1713,chiuso {It.},閉奏,義
1714,choeur d'église {Fr.},聖歌隊,法
1715,choeur d'hommes {Fr.},男聲合唱；男聲合唱團,法
1716,choeur de femmes {Fr.},女聲合唱；女生合唱團,法
1717,choeur {Fr.},合唱；合唱團,法
1718,choir,教堂的大廳；合唱團；唱詩班；樂器組,英
1719,choir organ,第三排鍵盤(管風琴),英
1720,choir pitch,歌隊音高；合唱團音高,英
1721,choirbook,合唱本,英
1722,choke cymbals,帽鈸,英
1723,chonguri {Geo.},芎古里琴（喬治亞）,英
1724,chopper,切奏,英
1725,chopsticks,筷子曲,英
1726,Chor {Ger.},合唱；合唱團,德
1727,choragus,合唱團長（古希臘）,英
1728,Choral,合唱；合唱團,英
1729,choral cantata,聖詠清唱劇；聖詠康塔塔,英
1730,choral d'orgue {Fr.},管風琴聖詠,法
1731,choral symphony,合唱交響曲,英
1732,choral {Fr.},聖詠（曲）,法
1733,Choral {Ger.},聖詠；聖詠曲,德
1734,Choralbearbeitung {Ger.},聖詠改編曲,德
1735,chorale,聖詠；合唱,英
1736,chorale cantata,聖詠清唱劇；聖詠康塔塔,英
1737,chorale fantasia,聖詠幻想曲,英
1738,chorale fugue,聖詠復格曲,英
1739,chorale motet,聖詠經文歌,英
1740,chorale partita,聖詠變奏曲,英
1741,chorale prelude,聖詠前奏曲,英
1742,chorale variations,聖詠變奏曲,英
1743,Choralfuge {Ger.},聖詠復格曲,德
1744,Choralis Contantinus {Lat.},康士坦丁聖詠集,拉
1745,Choralkantate {Ger.},聖詠清唱劇；聖詠康塔塔,德
1746,Choralmotette{Ger.},聖詠經文歌,德
1747,Choralnotation {Ger.},聖詠記譜法,德
1748,Choralrhythmus {Ger.},聖詠節奏,德
1749,Choralvariation {Ger.},聖詠變奏曲,德
1750,Choralvorspiel {Ger.},聖詠前奏曲,德
1751,Chorbuch {Ger.},合唱本,德
1752,chord,和弦（絃）,英
1753,chord construction,和絃構成,英
1754,chord form,和弦（絃）形式,英
1755,chord inversion,和弦轉位,英
1756,chord of added 6th,加六和弦,英
1757,chord of six,六和弦（絃）,英
1758,chord of six four,六四和弦（絃）,英
1759,chord of the added sixth,加六和弦（絃）,英
1760,chord of the augmented fifth,增五度和弦（絃）,英
1761,chord of the augmented sixth,增六和弦（絃）,英
1762,chord of the augmented sixth and fifth,增六五和弦（絃）,英
1763,chord of the augmented sixth and second,增二和絃,英
1764,chord of the augmented sixth fourth and third,增四三和弦（絃）,英
1765,chord of the eleventh,十一和弦（絃）,英
1766,chord of the four three,四三和弦（絃）,英
1767,chord of the ninth,九和弦（絃）,英
1768,chord of the second,二和弦（絃）,英
1769,chord of the seventh,七和弦（絃）,英
1770,chord of the six five,六五和弦（絃）,英
1771,chord of the sixth fifth and third,六五和絃，六五三和弦,英
1772,chord of the sixth fourth and second,四二和弦（絃）；二和弦（絃）,英
1773,chord of the sixth fourth and third,四三和弦，六四三和弦,英
1774,chord of the sugmented sixth fourth and third,增四三和弦,英
1775,chord of the thirteenth,十三和弦（絃）,英
1776,chord tone,和弦（絃）音,英
1777,chord-progression,和弦（絃）進行,英
1778,chord-repetition,同和弦（絃）反復,英
1779,chorda {Gr.} {Lat.},音；音高,希˙拉
1780,chordal style,和弦（絃）式風格,英
1781,Chordaulion {Ger.},自動管風琴,德
1782,Chordaulodion {Ger.},自動風琴,德
1783,chording,和弦配置；和弦唱準,英
1784,Chordirektor {Ger.},合唱指揮,德
1785,chordophone,弦（絃）鳴樂器,英
1786,chorea {Lat.},舞蹈歌,拉
1787,choreographic poem,芭蕾音詩,英
1788,chorist-fagott {Ger.},唱詩班低音管,德
1789,chorister,少年聖歌隊員,英
1790,chorkantate {Ger.},合唱清唱劇；合唱康塔塔,德
1791,Chorlied {Ger.},合唱歌曲,德
1792,chôro {Por.},秀羅曲,葡
1793,Chorton {Ger.},歌隊音高；合唱團音高,德
1794,Chorübungen,合唱練習曲集,德
1795,chorus,合唱；合唱團；副歌{通俗音樂},英
1796,chorus of equal voices,同聲合唱,英
1797,chorus of mixed voices,混聲合唱,英
1798,chorus reed,合奏音栓,英
1799,chorus {Lat.},中世紀風笛；古弦樂器(克魯特琴),拉
1800,chroai {Gr.},增減(修正),希
1801,chromatic,半音的；變化音的,英
1802,chromatic auxiliary note,變化助音,英
1803,chromatic chord,變化和弦（絃）,英
1804,chromatic concord,變化協和和弦（絃）,英
1805,chromatic discord,變化不協和和弦（絃）,英
1806,chromatic harp,半音豎琴,英
1807,chromatic interval,變化音程,英
1808,chromatic minor scale,變化小音階,英
1809,chromatic modulation,半音轉調,英
1810,chromatic passing note,半音經過音,英
1811,chromatic progression,半音進行,英
1812,chromatic scale,半音音階,英
1813,chromatic semitone,變化半音,英
1814,chromatic seventh,變化七和弦（絃）,英
1815,chromatic sign,變化記號,英
1816,chromatic triad,變化三和弦（絃）,英
1817,chromaticism,半音體系；半音風格；半音主義,英
1818,Chromatik {Ger.},半音體系；半音風格；半音主義,德
1819,chromatische Tonleiter {Ger.},半音音階,德
1820,chromatisches Intervall {Ger.},變化音程,德
1821,chromatisme {Fr.},半音體系；半音風格；半音主義,法
1822,chronos protos {Gr.},古希臘音樂中時間與節奏的最小單位,希
1823,chrotta {Lat.},克羅塔琴,拉
1824,church cantata,教會清唱劇；教會康塔塔,英
1825,church choir,聖歌隊,英
1826,church concerto,教會協奏曲,英
1827,church mode,教會調式,英
1828,church music,教會音樂,英
1829,church sonata,教會奏鳴曲,英
1830,chute {Fr.},下行倚音,法
1831,chûte {Fr.},下行倚音,法
1832,chyn,琴；古琴,英
1833,ciaccona {It.},夏康舞曲,義
1834,ciaramella {It.},蕭姆管,義
1835,cibalom,揚琴｛東歐｝,英
1836,cibell,西貝爾曲式,英
1837,ciclo di liriche {It.},聯篇歌曲,義
1838,ciclo {It.},連環；循環,義
1839,cilindro rotativo {It.},活塞,義
1840,cilindro {It.},活塞,義
1841,cimbal d'amour {Ger.},古鋼琴,德
1842,cimbaletto {It.},鈴鼓,義
1843,cimbalo,鈸,英
1844,cimbalom,揚琴｛東歐｝,英
1845,cimbasso {It.},有鍵低音長號,義
1846,cinema organ,電影院風琴,英
1847,cinque pace,五步舞,英
1848,cinque pas,五步舞,英
1849,cinque pass,五步舞,英
1850,cinquième octave {Fr.},小字三點音｛音域｝,法
1851,cipher,故障音（風琴）,英
1852,ciphering,故障音（風琴）,英
1853,circle canon,迴旋卡農,英
1854,circle of fifths,五度圈,英
1855,circle of fourths,四度圈,英
1856,circle of keys,調子圈,英
1857,circolo delle quinte {It.},五度圈,義
1858,circular canon,迴旋卡農,英
1859,Cis {Ger.},升Ｃ,德
1860,Cisis {Ger.},重升C,德
1861,Cister {Ger.},西特琴,德
1862,cistre {Fr.},西特琴,法
1863,Cithare {Ger.},西特琴,德
1864,Cither {Ger.},西特琴,德
1865,cithern,西特琴,英
1866,citole,西托爾琴（中世紀魯特琴）,英
1867,cittern,西特琴,英
1868,cittern pandora,班多拉琴,英
1869,civettando {It.},諂媚的；作態的,義
1870,clairon {Fr.},號角,法
1871,clappers,響板；拍板,英
1872,claquebois {Fr.},木琴,法
1873,claquette {Fr.},嘎嘎器；搖響器,法
1874,clarabel,柔笛聲音栓（管風琴）,英
1875,clarabella,柔笛聲音栓（管風琴）,英
1876,claribel flute,柔笛聲音栓（管風琴）,英
1877,clarinet,單簧管,英
1878,clarinet family,單簧管家族,英
1879,clarinet flute,單簧管長笛音栓（管風琴）,英
1880,clarinet stop,單簧管音栓（管風琴）,英
1881,clarinette alto {Fr.},中音單簧管,法
1882,clarinette basse {Fr.},低音單簧管,法
1883,clarinette contralto {It.},降E調低音單簧管,義
1884,clarinette contrebasse {Fr.},倍低音單簧管,法
1885,clarinette d'amour {Fr.},柔音單簧管,法
1886,clarinette {Fr.},單簧管,法
1887,clarinetto contrabbasso {It.},倍低音單簧管,義
1888,clarinetto contralto {It.},中音單簧管,義
1889,clarinetto piccolo {It.},小單簧管,義
1890,clarinetto {It.},單簧管,義
1891,clarino {It.},高音小號｛古名｝；小號高音區,義
1892,clarion,克拉里昂小號；克拉里昂音栓（管風琴）,英
1893,clarone {It.},低音單簧管；中音單簧管；單簧管｛早期｝；小號｛中世紀｝,義
1894,clàrsach,豎琴（蘇格蘭，愛爾蘭）,英
1895,classical,古典,英
1896,classical form,古典形式,英
1897,classicism,古典主義,英
1898,clausula,克勞蘇拉（中世紀複音音樂終止式）,英
1899,clausula {Lat.},克勞蘇拉（中世紀複音音樂終止式）,拉
1900,clave {Sp.},譜號,西
1901,clavecin à archet {Fr.},有弓鍵盤樂器,法
1902,clavecin de pédale {Fr.},踏瓣大鍵琴,法
1903,clavecin organisé {Fr.},複合鍵盤樂器,法
1904,clavecin vertical {Fr.},直立式大鍵琴,法
1905,clavecin {Fr.},大鍵琴,法
1906,clavemusicum omnitonum {Lat.},微分音大鍵琴,拉
1907,claves {Sp.},響棒,西
1908,Clavicembalo {Ger.},大鍵琴,德
1909,clavicembalo {It.},大鍵琴,義
1910,clavichord,古鋼琴,英
1911,Clavichord {Ger.},古鋼琴,德
1912,clavicor,克拉維號,英
1913,clavicorde {Fr.},古鋼琴,法
1914,clavicordium {Lat.},古鋼琴,拉
1915,clavicorno {It.},克拉維號,義
1916,clavicylinder,鍵盤玻璃琴,英
1917,clavicymbal,大鍵琴,英
1918,Clavicymbelpedal {Ger.},踏瓣大鍵琴,德
1919,clavicytherium {Lat.},直立式大鍵琴,拉
1920,clavier d'écho {Fr.},回聲風琴,法
1921,Clavier Übung {Ger.},鍵盤曲集,德
1922,clavier {Fr.},鍵盤樂器,法
1923,Clavier {Ger.},鋼琴；鍵盤樂器,德
1924,claviorgan,複合鍵盤樂器,英
1925,claviórgano {It.},複合鍵盤樂器,義
1926,claviorganum {It.},複合鍵盤樂器,義
1927,clé {Fr.},譜號,法
1928,clear flute,嘹亮笛音栓,英
1929,clef,譜號,英
1930,clef d'ut {Fr.},Ｃ譜號,法
1931,clef de baryton {Fr.},上低音譜號,法
1932,clef de basse profonde {Fr.},下低音譜號,法
1933,clef de basse {Fr.},低音譜號,法
1934,clef de fa {Fr.},Ｆ譜號,法
1935,clef de sol {Fr.},Ｇ譜號,法
1936,clef du violin {Fr.},小提琴譜號,法
1937,Clef G,G譜號,法
1938,clef {Fr.},譜號,英˙法
1939,cliquette {Fr.},響板；拍板,法
1940,cloche des tons {Fr.},音鐘,法
1941,cloche {Fr.},鐘,法
1942,cloches tubulaires {Fr.},管鐘,法
1943,clog box,木魚,英
1944,close,終止,英
1945,close cadence,大終止,英
1946,close canon,有終卡農,英
1947,close chord,密集和弦（絃）,英
1948,close fugue,緊湊復格,英
1949,close harmony,密集和聲,英
1950,close imitation,緊模仿,英
1951,close position,密集位置,英
1952,closed pipe,閉管,英
1953,closing resolution,終止解決,英
1954,closing section,結束樂段,英
1955,cluster,音簇；音堆,英
1956,coach horn,郵號,英
1957,cobla {Sp.},柯布拉樂隊,西
1958,Cobzǎ,柯不扎琴,羅馬尼亞
1959,coda uncinata {It.},符尾,義
1960,coda {It.}{Fr.},尾聲；尾奏,義˙英˙法
1961,codetta {It.},小尾聲；小尾奏,義
1962,Codex Chigi,基吉抄本,法
1963,codex {Lat.}{Fr.},抄本,拉˙英˙法
1964,codice {It.},抄本,義
1965,cog rattle,齒輪嘎嘎器,英
1966,col arco {It.},用弓奏,義
1967,col canto {It.},配合歌唱,義
1968,col legno {It.},用弓背奏,義
1969,colascione {It.},柯拉兄內琴,義
1970,coll' ottava,加八度,義
1971,coll'arco {It.},用弓奏,義
1972,coll'ottava {It.},連八度奏,義
1973,colla parte {It.},配合主要聲部,義
1974,colla punta dell'arco {It.},用弓尖部奏,義
1975,colla voce {It.},配合獨唱聲部,義
1976,collage {Fr.},拼貼,法
1977,collect,集禱經,英
1978,collegamento di accordi {It.},和弦連接,義
1979,collegium musicum {Lat.},音樂社團,拉
1980,collegium rorantistarum {Lat.},教堂唱詩班,拉
1981,colophony,松香,英
1982,coloration,色符記譜法；色彩裝飾,英
1983,coloratura aria {It.},花腔詠唱調,義
1984,coloratura soprano {It.},華彩女高音；花腔女高音,義
1985,coloratura {It.},華彩；花腔,義
1986,colotomic structure,銜接式構造,英
1987,colour,音色,英
1988,coloured hearing,色彩聽覺,英
1989,colpo {It.},擊奏,義
1990,combination tone,混合音,英
1991,combined counterpoint,混合對位法,英
1992,combo,小爵士樂隊,英
1993,come {It.},如同,義
1994,comédie-ballet {Fr.},喜劇芭蕾舞劇,法
1995,comes,答题；答句,英
1996,comes {Lat.},答句,拉
1997,comic opera,喜歌劇,英
1998,comiquement {Fr.},喜劇的；詼諧的,法
1999,comma sintonico {It.},共振音差,義
2000,comma {Fr.}{It.},音差,英˙法˙義
2001,Commedia dell'arte {It.},即興喜劇,義
2002,commedia per musica {It.},拿波里喜歌劇,義
2003,commercial jazz,商業爵士樂,英
2004,common chord,普通和弦,英
2005,common meansure,四四拍子,英
2006,common pitch,共同音高,英
2007,common time,四四拍子,英
2008,Commune sanctorum {Lat.},諸聖節,拉
2009,communio {Lat.},領主詠,拉
2010,communion {Fr.},領主詠,法
2011,community singing,社團合唱,英
2012,comodo {It.},悠閒的；舒適的；輕鬆的；随便的；,義
2013,compact cassette,卡式錄音帶,英
2014,compact disc,雷射唱片｛ＣＤ｝,英
2015,companella {It.},小鈴；小鐘,義
2016,comparative musicology,比較音樂學,英
2017,compás {Sp.},小節,西
2018,compass,音域,英
2019,compass of voice,聲部音域；聲音音域,英
2020,competition in music,音樂比賽,英
2021,compiacevole {It.},爽快的,義
2022,complainte {Fr.},悲嘆之歌,法
2023,complement,轉位音程,英
2024,complementary interval,轉位音程,英
2025,complete bar,完全小節,英
2026,complete cadence,完全終止,英
2027,complete edition,全集,英
2028,complete modulation,完全轉調,英
2029,complete perfect cadence,完全終止,英
2030,complex figuration,複雜音型法,英
2031,complex rhythm,複節奏,英
2032,compline,晚禱,英
2033,component tone,分音,英
2034,componium,複合自動管風琴,英
2035,composer,作曲家,英
2036,composition,作品；樂曲；作曲,英
2037,composition pedals,合成踏板,英
2038,compound authentic cadence,複式正格終止,英
2039,compound auxiliary note,複助音,英
2040,compound binary form,複二段體,英
2041,compound changing tone (note),複換音,英
2042,compound duple meter,複二拍子,英
2043,compound duple time,複二拍子,英
2044,compound figuration,複合音型法,英
2045,compound interval,複音程,英
2046,compound measure,複拍子,英
2047,compound meter,複拍子,英
2048,compound modulation,複轉調,英
2049,compound quadruple time,複四拍子,英
2050,compound rhythm,複節奏,英
2051,compound suspensions,複掛留音,英
2052,compound ternary form,複三段式,英
2053,compound time,複拍子,英
2054,compound tone,複合音,英
2055,Compound triple meter,複三拍子,英
2056,compound triple time,複三拍子,英
2057,comprimaria {It.},候補演員,義
2058,comprimario {It.},候補演員,義
2059,computer cantata,電腦清唱劇,英
2060,computer music,電腦音樂,英
2061,con allegrezza,明朗快樂的,義
2062,con amore {It.},情意綿綿的,義
2063,con anima {It.},生氣蓬勃的；精神煥發的,義
2064,con ardore {It.},如火如荼的,義
2065,con bravura {It.},精湛技巧的,義
2066,con brio {It.},有精神的,義
2067,con calore {It.},熱烈的；熱情的；激烈的,義
2068,con energia {It.},加強的；使勁的,義
2069,con espressione {It.},富於表情的,義
2070,con garbo {It.},優雅的；高尚的,義
2071,con giusto {It.},精確的,義
2072,con grazia {It.},優雅的；可愛的,義
2073,con malinconia {It.},憂鬱的,義
2074,con moto {It.},速度略快,義
2075,con passione {It.},感動的,義
2076,con pedale {It.},使用踏瓣,義
2077,con scioltezza {It.},悠閒的,義
2078,con sentimento {It.},充滿感情的,義
2079,con sordino {It.},加弱音器,義
2080,con spirito {It.},有精神的,義
2081,con tenerezza {It.},溫柔的,義
2082,con tutta la forza {It.},全力以赴的,義
2083,con {It.},與,義
2084,concentus {Lat.},合唱；合唱團,拉
2085,concert,音樂會,英
2086,concert aria,音樂會詠唱調,英
2087,concert band,室內管樂團,英
2088,concert de chambre {Fr.},室內音樂會,法
2089,concert grand piano,大平臺鋼琴；音樂會大鋼琴,英
2090,concert hall,演奏廳；音樂廳,英
2091,concert music,音樂會音樂,英
2092,concert of ancient music,古樂音樂會,英
2093,concert overture,音樂會序曲,英
2094,concert performer,演奏家,英
2095,concert piece,音樂會曲,英
2096,concert pitch,音樂會音高,英
2097,concert program,曲目,英
2098,concert room,演奏室,英
2099,concert singer,歌唱家,英
2100,concert spirituel {Fr.},聖靈音樂會；牧靈音樂會,法
2101,concert {Fr.},音樂會；合奏曲,法
2102,concertante {It.},複協奏曲,義
2103,concertato {It.},主奏部,義
2104,concerted,合奏,英
2105,concertina,六角手風琴,英
2106,concertina {Fr.},六角手風琴,英˙法
2107,concertino {It.},獨奏群；小協奏曲,義
2108,concertist,演奏家,英
2109,concertmaster,樂團首席,英
2110,concerto da camera {It.},室內協奏曲,義
2111,concerto da chiesa {It.},教會協奏曲,義
2112,concerto ecclesiatico {It.},教會協奏曲,義
2113,concerto for orchestra,管弦協奏曲,英
2114,concerto grosso {It.},大協奏曲,義
2115,concerto {It.},協唱奏曲；協奏曲；音樂會,義
2116,concerto {It.}{Fr.},協奏曲,義˙英˙法
2117,concierto {Sp.},音樂會；協奏曲,西
2118,concise binary form,簡明二段體,英
